shipment_id,order_id,shipment_date,delivery_date,shipping_company,shipping_status
178,178,2025-06-11,2025-06-17,Ekart,Out for Delivery
179,179,2024-06-16,2024-06-17,Ekart,Returned
180,180,2025-06-20,2025-06-25,Blue Dart,Shipped
181,181,2024-07-30,2024-08-04,XpressBees,Shipped
182,182,2025-08-18,2025-08-22,Shadowfax,Shipped
183,183,2024-04-08,2024-04-09,India Post,Shipped
184,184,2025-01-23,2025-01-24,Delhivery,Delivered
185,185,2025-08-10,2025-08-17,XpressBees,Processing
186,186,2024-09-30,2024-10-01,DTDC,Out for Delivery
187,187,2024-07-02,2024-07-06,XpressBees,Delivered
188,188,2025-08-06,2025-08-13,Delhivery,Returned
189,189,2024-11-10,2024-11-11,India Post,Returned
190,190,2024-04-12,2024-04-17,XpressBees,Shipped
191,191,2024-04-29,2024-05-05,XpressBees,Delivered
192,192,2024-03-21,2024-03-27,XpressBees,Delivered
193,193,2025-10-14,2025-10-19,India Post,Returned
194,194,2025-07-23,2025-07-26,Shadowfax,Out for Delivery
195,195,2025-08-29,2025-09-05,Delhivery,Delivered
196,196,2024-11-12,2024-11-19,Ekart,Returned
197,197,2024-07-23,2024-07-27,India Post,Processing
198,198,2024-01-28,2024-01-31,DTDC,Shipped
199,199,2024-01-02,2024-01-09,India Post,Delivered
200,200,2024-09-15,2024-09-16,India Post,Delivered
201,201,2024-12-25,2024-12-26,Blue Dart,Shipped
202,202,2025-08-17,2025-08-19,Delhivery,Delivered
203,203,2024-03-31,2024-04-07,Ekart,Processing
204,204,2025-01-06,2025-01-07,Blue Dart,Delivered
205,205,2024-01-26,2024-02-01,DTDC,Returned
206,206,2024-06-25,2024-06-26,Delhivery,Delivered
207,207,2025-05-30,2025-06-04,DTDC,Shipped
208,208,2024-12-22,2024-12-26,Blue Dart,Out for Delivery
209,209,2024-01-05,2024-01-09,Blue Dart,Delivered
210,210,2025-05-10,2025-05-11,XpressBees,Processing
211,211,2025-01-20,2025-01-26,Delhivery,Shipped
212,212,2024-02-17,2024-02-24,DTDC,Processing
213,213,2025-05-05,2025-05-06,XpressBees,Delivered
214,214,2024-09-29,2024-10-06,Ekart,Shipped
215,215,2024-07-24,2024-07-28,Blue Dart,Processing
216,216,2025-01-01,2025-01-04,XpressBees,Delivered
217,217,2025-06-13,2025-06-17,Ekart,Processing
218,218,2025-07-09,2025-07-15,Shadowfax,Out for Delivery
219,219,2024-10-24,2024-10-28,XpressBees,Out for Delivery
220,220,2025-09-19,2025-09-20,Blue Dart,Processing
221,221,2024-10-14,2024-10-17,Blue Dart,Delivered
222,222,2025-05-09,2025-05-14,XpressBees,Shipped
223,223,2024-03-26,2024-04-01,XpressBees,Shipped
224,224,2024-02-09,2024-02-14,Ekart,Returned
225,225,2024-06-16,2024-06-23,DTDC,Out for Delivery
226,226,2024-04-06,2024-04-08,Ekart,Shipped
227,227,2025-05-08,2025-05-14,Shadowfax,Shipped
228,228,2024-07-04,2024-07-06,Ekart,Processing
229,229,2024-09-09,2024-09-11,Ekart,Returned
230,230,2025-08-08,2025-08-11,Delhivery,Processing
231,231,2025-05-18,2025-05-19,Delhivery,Delivered
232,232,2025-03-27,2025-03-30,XpressBees,Returned
233,233,2025-05-19,2025-05-21,DTDC,Delivered
234,234,2025-03-18,2025-03-20,Blue Dart,Out for Delivery
235,235,2024-09-27,2024-09-28,Ekart,Processing
236,236,2025-09-19,2025-09-20,Shadowfax,Processing
237,237,2024-01-14,2024-01-18,India Post,Returned
238,238,2025-06-05,2025-06-08,India Post,Delivered
239,239,2024-01-18,2024-01-21,Shadowfax,Returned
240,240,2025-10-01,2025-10-04,Delhivery,Returned
241,241,2025-08-08,2025-08-14,Blue Dart,Returned
242,242,2024-11-12,2024-11-18,XpressBees,Shipped
243,243,2025-10-08,2025-10-10,Delhivery,Out for Delivery
244,244,2024-02-11,2024-02-14,Blue Dart,Delivered
245,245,2024-02-13,2024-02-17,India Post,Delivered
246,246,2024-07-18,2024-07-21,XpressBees,Delivered
247,247,2025-01-17,2025-01-21,Ekart,Out for Delivery
248,248,2025-06-11,2025-06-14,XpressBees,Returned
249,249,2024-08-15,2024-08-19,DTDC,Returned
250,250,2024-07-14,2024-07-18,Blue Dart,Shipped
251,251,2025-08-12,2025-08-13,XpressBees,Returned
252,252,2024-04-15,2024-04-21,Delhivery,Delivered
253,253,2024-09-04,2024-09-09,DTDC,Delivered
254,254,2024-03-27,2024-04-02,DTDC,Delivered
255,255,2025-06-30,2025-07-05,Shadowfax,Shipped
256,256,2024-08-10,2024-08-11,Blue Dart,Returned
257,257,2025-11-21,2025-11-26,Blue Dart,Delivered
258,258,2025-05-31,2025-06-03,DTDC,Delivered
259,259,2024-05-22,2024-05-28,Blue Dart,Out for Delivery
260,260,2024-02-11,2024-02-17,Delhivery,Returned
261,261,2024-04-06,2024-04-07,Blue Dart,Processing
262,262,2024-03-05,2024-03-06,XpressBees,Out for Delivery
263,263,2025-03-21,2025-03-24,Delhivery,Returned
264,264,2025-07-13,2025-07-20,Blue Dart,Delivered
265,265,2025-11-15,2025-11-22,Shadowfax,Delivered
266,266,2024-11-12,2024-11-17,Blue Dart,Shipped
267,267,2025-07-27,2025-07-31,DTDC,Out for Delivery
268,268,2025-05-17,2025-05-21,Blue Dart,Returned
269,269,2025-03-29,2025-04-05,XpressBees,Out for Delivery
270,270,2024-02-20,2024-02-23,Ekart,Returned
271,271,2025-03-13,2025-03-16,Ekart,Returned
272,272,2024-03-23,2024-03-27,DTDC,Out for Delivery
273,273,2025-08-01,2025-08-06,Blue Dart,Shipped
274,274,2024-03-04,2024-03-07,Ekart,Shipped
275,275,2024-05-07,2024-05-09,India Post,Processing
276,276,2025-10-28,2025-11-02,India Post,Delivered
277,277,2025-06-17,2025-06-22,XpressBees,Returned
278,278,2024-03-29,2024-04-02,Blue Dart,Shipped
279,279,2025-09-24,2025-09-30,Blue Dart,Shipped
280,280,2024-02-08,2024-02-13,DTDC,Returned
281,281,2025-08-31,2025-09-06,DTDC,Delivered
282,282,2025-02-04,2025-02-05,Ekart,Processing
283,283,2025-03-25,2025-03-28,Shadowfax,Shipped
284,284,2025-08-25,2025-08-27,Ekart,Shipped
285,285,2025-08-25,2025-08-29,XpressBees,Returned
286,286,2024-05-18,2024-05-21,Shadowfax,Returned
287,287,2024-12-17,2024-12-21,Ekart,Returned
288,288,2025-03-24,2025-03-29,Ekart,Delivered
289,289,2025-08-05,2025-08-07,XpressBees,Returned
290,290,2025-02-12,2025-02-17,XpressBees,Out for Delivery
291,291,2025-10-15,2025-10-18,XpressBees,Processing
292,292,2025-03-08,2025-03-11,Ekart,Shipped
293,293,2024-06-24,2024-06-25,DTDC,Out for Delivery
294,294,2024-04-01,2024-04-07,XpressBees,Out for Delivery
295,295,2025-06-09,2025-06-15,Ekart,Shipped
296,296,2024-02-11,2024-02-13,XpressBees,Delivered
297,297,2024-02-18,2024-02-24,Shadowfax,Out for Delivery
298,298,2025-03-03,2025-03-07,DTDC,Shipped
299,299,2024-02-20,2024-02-25,Shadowfax,Shipped
300,300,2024-02-26,2024-03-01,XpressBees,Delivered
301,301,2024-04-06,2024-04-11,India Post,Out for Delivery
302,302,2024-03-26,2024-03-31,XpressBees,Out for Delivery
303,303,2025-02-11,2025-02-17,Shadowfax,Shipped
304,304,2025-11-07,2025-11-11,XpressBees,Processing
305,305,2025-10-15,2025-10-16,India Post,Returned
306,306,2025-04-13,2025-04-19,XpressBees,Returned
307,307,2025-02-14,2025-02-18,Delhivery,Shipped
308,308,2024-09-14,2024-09-15,Ekart,Processing
309,309,2025-01-21,2025-01-23,XpressBees,Returned
310,310,2025-08-26,2025-09-02,Shadowfax,Shipped
311,311,2025-03-17,2025-03-24,XpressBees,Returned
312,312,2024-12-02,2024-12-09,Blue Dart,Out for Delivery
313,313,2024-10-06,2024-10-08,DTDC,Delivered
314,314,2024-02-09,2024-02-10,Ekart,Processing
315,315,2024-05-28,2024-06-01,DTDC,Returned
316,316,2025-08-13,2025-08-20,XpressBees,Processing
317,317,2025-06-12,2025-06-18,Delhivery,Delivered
318,318,2024-08-17,2024-08-22,XpressBees,Returned
319,319,2024-06-11,2024-06-12,DTDC,Returned
320,320,2024-01-14,2024-01-19,Delhivery,Out for Delivery
321,321,2024-01-13,2024-01-18,Delhivery,Shipped
322,322,2025-01-15,2025-01-20,Delhivery,Processing
323,323,2024-10-07,2024-10-12,Blue Dart,Returned
324,324,2024-03-01,2024-03-06,Ekart,Shipped
325,325,2024-08-24,2024-08-25,Shadowfax,Delivered
326,326,2024-10-27,2024-10-29,Delhivery,Processing
327,327,2024-04-01,2024-04-02,India Post,Processing
328,328,2024-09-09,2024-09-14,Blue Dart,Shipped
329,329,2025-04-07,2025-04-11,Delhivery,Processing
330,330,2025-10-14,2025-10-15,Shadowfax,Returned
331,331,2024-09-03,2024-09-06,DTDC,Processing
332,332,2024-04-15,2024-04-22,DTDC,Out for Delivery
333,333,2024-01-22,2024-01-24,Ekart,Out for Delivery
334,334,2025-01-27,2025-01-29,India Post,Shipped
335,335,2025-04-28,2025-04-29,DTDC,Shipped
336,336,2025-07-14,2025-07-16,Delhivery,Out for Delivery
337,337,2025-04-25,2025-04-27,DTDC,Returned
338,338,2025-09-25,2025-09-29,XpressBees,Processing
339,339,2024-09-04,2024-09-10,Blue Dart,Shipped
340,340,2024-07-02,2024-07-09,Delhivery,Returned
341,341,2025-11-26,2025-12-01,India Post,Out for Delivery
342,342,2024-02-23,2024-02-26,Delhivery,Processing
343,343,2025-08-06,2025-08-11,Ekart,Processing
344,344,2025-03-05,2025-03-12,Delhivery,Delivered
345,345,2025-08-13,2025-08-16,XpressBees,Processing
346,346,2025-10-05,2025-10-08,Blue Dart,Out for Delivery
347,347,2024-01-05,2024-01-09,Ekart,Processing
348,348,2025-08-20,2025-08-23,XpressBees,Processing
349,349,2025-09-07,2025-09-11,Delhivery,Delivered
350,350,2025-04-30,2025-05-06,DTDC,Delivered
351,351,2025-11-26,2025-11-27,Blue Dart,Shipped
352,352,2024-02-08,2024-02-15,XpressBees,Processing
353,353,2025-11-30,2025-12-05,Blue Dart,Shipped
354,354,2025-05-27,2025-05-28,Delhivery,Shipped
355,355,2024-02-11,2024-02-17,DTDC,Returned
356,356,2025-01-12,2025-01-13,Blue Dart,Out for Delivery
357,357,2025-07-11,2025-07-16,Ekart,Shipped
358,358,2024-04-13,2024-04-17,India Post,Delivered
359,359,2024-01-20,2024-01-25,DTDC,Returned
360,360,2024-07-10,2024-07-15,Blue Dart,Out for Delivery
361,361,2024-02-08,2024-02-11,XpressBees,Shipped
362,362,2024-04-20,2024-04-22,DTDC,Shipped
363,363,2024-04-25,2024-04-29,XpressBees,Shipped
364,364,2025-01-20,2025-01-23,XpressBees,Delivered
365,365,2024-09-11,2024-09-17,Blue Dart,Out for Delivery
366,366,2024-02-11,2024-02-16,DTDC,Returned
367,367,2025-01-21,2025-01-22,Shadowfax,Processing
368,368,2024-02-22,2024-02-23,DTDC,Processing
369,369,2024-11-27,2024-12-01,Shadowfax,Shipped
370,370,2025-04-05,2025-04-08,India Post,Out for Delivery
371,371,2025-03-02,2025-03-08,Shadowfax,Processing
372,372,2025-03-18,2025-03-23,India Post,Delivered
373,373,2024-08-14,2024-08-15,Ekart,Delivered
374,374,2025-03-26,2025-03-27,DTDC,Shipped
375,375,2024-04-09,2024-04-13,XpressBees,Shipped
376,376,2024-09-12,2024-09-18,Shadowfax,Processing
377,377,2025-04-18,2025-04-21,XpressBees,Delivered
378,378,2024-05-10,2024-05-12,Delhivery,Shipped
379,379,2024-12-27,2024-12-30,Shadowfax,Out for Delivery
380,380,2024-02-04,2024-02-11,XpressBees,Out for Delivery
381,381,2024-05-27,2024-05-31,Delhivery,Delivered
382,382,2025-06-19,2025-06-26,XpressBees,Returned
383,383,2024-08-19,2024-08-26,Shadowfax,Out for Delivery
384,384,2024-05-07,2024-05-11,Delhivery,Returned
385,385,2024-08-22,2024-08-28,India Post,Shipped
386,386,2025-06-28,2025-07-03,XpressBees,Shipped
387,387,2024-02-10,2024-02-17,XpressBees,Processing
388,388,2024-01-12,2024-01-16,Delhivery,Returned
389,389,2024-05-12,2024-05-15,DTDC,Processing
390,390,2024-03-15,2024-03-16,Ekart,Out for Delivery
391,391,2025-02-15,2025-02-16,India Post,Returned
392,392,2025-04-17,2025-04-24,Shadowfax,Shipped
393,393,2025-01-11,2025-01-15,XpressBees,Processing
394,394,2024-08-08,2024-08-12,Blue Dart,Delivered
395,395,2024-07-24,2024-07-27,Shadowfax,Shipped
396,396,2024-07-26,2024-07-31,Ekart,Returned
397,397,2025-11-19,2025-11-22,DTDC,Processing
398,398,2025-04-27,2025-04-30,India Post,Delivered
399,399,2025-03-19,2025-03-25,Shadowfax,Returned
400,400,2024-08-14,2024-08-21,Delhivery,Returned
401,401,2025-11-17,2025-11-20,Ekart,Out for Delivery
402,402,2025-08-10,2025-08-12,Ekart,Delivered
403,403,2024-01-01,2024-01-05,Shadowfax,Returned
404,404,2025-07-26,2025-08-02,XpressBees,Delivered
405,405,2025-08-24,2025-08-27,Ekart,Returned
406,406,2024-07-21,2024-07-26,Ekart,Returned
407,407,2024-10-26,2024-10-29,DTDC,Out for Delivery
408,408,2025-09-18,2025-09-19,DTDC,Returned
409,409,2024-09-28,2024-10-04,DTDC,Returned
410,410,2024-11-19,2024-11-22,Blue Dart,Returned
411,411,2024-04-19,2024-04-26,DTDC,Returned
412,412,2025-03-21,2025-03-28,Blue Dart,Returned
413,413,2025-05-05,2025-05-08,XpressBees,Out for Delivery
414,414,2024-07-18,2024-07-19,Blue Dart,Shipped
415,415,2025-06-25,2025-06-27,Ekart,Out for Delivery
416,416,2024-09-25,2024-09-27,Ekart,Out for Delivery
417,417,2024-04-06,2024-04-08,XpressBees,Shipped
418,418,2025-05-05,2025-05-10,Shadowfax,Processing
419,419,2024-08-05,2024-08-09,Blue Dart,Processing
420,420,2025-01-11,2025-01-18,XpressBees,Out for Delivery
421,421,2024-03-04,2024-03-09,XpressBees,Shipped
422,422,2025-01-25,2025-02-01,XpressBees,Processing
423,423,2024-06-27,2024-07-03,Ekart,Out for Delivery
424,424,2024-05-25,2024-05-30,Ekart,Shipped
425,425,2024-12-27,2024-12-31,Shadowfax,Out for Delivery
426,426,2025-04-27,2025-05-01,Delhivery,Out for Delivery
427,427,2025-03-18,2025-03-19,DTDC,Delivered
428,428,2025-10-08,2025-10-15,DTDC,Shipped
429,429,2024-08-16,2024-08-23,Ekart,Delivered
430,430,2025-05-18,2025-05-25,India Post,Delivered
431,431,2025-01-24,2025-01-28,XpressBees,Returned
432,432,2025-07-14,2025-07-21,DTDC,Processing
433,433,2024-02-22,2024-02-27,Ekart,Returned
434,434,2025-01-26,2025-01-29,XpressBees,Returned
435,435,2025-02-03,2025-02-05,Ekart,Processing
436,436,2025-01-02,2025-01-04,Delhivery,Processing
437,437,2025-04-05,2025-04-06,Blue Dart,Out for Delivery
438,438,2025-01-11,2025-01-13,Delhivery,Delivered
439,439,2024-12-18,2024-12-23,Shadowfax,Out for Delivery
440,440,2025-02-10,2025-02-16,XpressBees,Shipped
441,441,2024-11-06,2024-11-09,Ekart,Processing
442,442,2025-05-22,2025-05-25,India Post,Shipped
443,443,2025-07-15,2025-07-22,India Post,Returned
444,444,2025-06-23,2025-06-25,DTDC,Processing
445,445,2025-03-18,2025-03-20,XpressBees,Processing
446,446,2024-06-15,2024-06-19,Shadowfax,Shipped
447,447,2024-01-20,2024-01-24,Shadowfax,Processing
448,448,2024-11-27,2024-12-03,DTDC,Delivered
449,449,2024-07-05,2024-07-06,XpressBees,Out for Delivery
450,450,2025-02-03,2025-02-07,Ekart,Returned
451,451,2024-08-31,2024-09-02,Blue Dart,Out for Delivery
452,452,2025-01-27,2025-02-01,India Post,Delivered
453,453,2025-08-24,2025-08-26,India Post,Processing
454,454,2024-10-25,2024-10-31,Delhivery,Delivered
455,455,2024-10-08,2024-10-11,XpressBees,Returned
456,456,2025-09-07,2025-09-10,DTDC,Returned
457,457,2024-09-02,2024-09-08,Shadowfax,Out for Delivery
458,458,2025-09-30,2025-10-02,India Post,Delivered
459,459,2025-04-28,2025-05-05,Delhivery,Shipped
460,460,2025-05-07,2025-05-12,Shadowfax,Out for Delivery
461,461,2024-02-22,2024-02-24,Delhivery,Out for Delivery
462,462,2024-02-04,2024-02-09,India Post,Processing
463,463,2024-02-11,2024-02-16,DTDC,Returned
464,464,2024-11-08,2024-11-13,Blue Dart,Processing
465,465,2024-01-21,2024-01-24,India Post,Processing
466,466,2025-05-22,2025-05-23,Delhivery,Delivered
467,467,2024-02-06,2024-02-07,Ekart,Processing
468,468,2024-07-29,2024-07-30,Delhivery,Processing
469,469,2025-06-04,2025-06-09,Blue Dart,Processing
470,470,2025-02-05,2025-02-08,DTDC,Shipped
471,471,2024-01-29,2024-02-01,Shadowfax,Returned
472,472,2025-01-10,2025-01-15,Delhivery,Returned
473,473,2025-09-15,2025-09-22,XpressBees,Out for Delivery
474,474,2025-08-05,2025-08-06,XpressBees,Processing
475,475,2025-11-24,2025-11-27,Blue Dart,Processing
476,476,2025-02-03,2025-02-08,Delhivery,Shipped
477,477,2024-02-04,2024-02-08,Delhivery,Out for Delivery
478,478,2024-01-27,2024-01-30,DTDC,Returned
479,479,2024-11-15,2024-11-17,DTDC,Delivered
480,480,2024-08-12,2024-08-15,India Post,Processing
481,481,2024-07-24,2024-07-31,Ekart,Processing
482,482,2025-02-09,2025-02-11,DTDC,Returned
