order_id,customer_id,employee_id,order_date,total_amount,order_status,payment_status
58,783,48,2025-06-27,125993.7,Shipped,Failed
59,887,30,2024-08-17,42581.6,Placed,Paid
60,454,40,2025-07-12,83742.83,Packed,Paid
61,651,26,2025-02-20,119725.74,Delivered,Paid
62,62,37,2025-03-19,114325.69,Delivered,Refunded
63,158,32,2024-05-17,29409.84,Packed,Pending
64,996,3,2024-09-07,136530.52,Placed,Failed
65,950,2,2024-01-12,62009.21,Shipped,Paid
66,43,16,2025-03-22,104913.85,Packed,Refunded
67,116,19,2025-11-18,96561.17,Shipped,Pending
68,528,2,2025-01-05,117975.5,Delivered,Pending
69,425,15,2025-06-06,99464.15,Delivered,Failed
70,574,13,2025-02-03,11836.25,Delivered,Paid
71,294,9,2025-05-02,109763.49,Placed,Pending
72,125,30,2024-12-27,82904.04,Placed,Failed
73,534,23,2024-10-22,54609.46,Delivered,Paid
74,109,33,2024-04-07,89045.22,Shipped,Paid
75,800,43,2024-07-29,143896.05,Packed,Failed
76,130,31,2024-05-23,127748.03,Placed,Pending
77,808,6,2024-12-04,5133.01,Packed,Pending
78,469,28,2024-07-24,99297.11,Placed,Paid
79,156,8,2025-04-17,104445.5,Packed,Paid
80,368,29,2024-07-30,122590.83,Packed,Failed
81,350,43,2024-05-26,13682.73,Placed,Refunded
82,336,43,2025-02-14,52028.92,Packed,Paid
83,60,36,2024-03-07,16815.24,Packed,Refunded
84,241,9,2025-07-24,118955.56,Cancelled,Refunded
85,939,27,2025-07-22,55350.77,Returned,Pending
86,867,27,2024-02-04,90516.87,Shipped,Refunded
87,707,1,2024-12-24,76101.96,Placed,Refunded
88,82,25,2024-07-07,91618.02,Delivered,Paid
89,752,39,2025-06-30,30048.4,Returned,Paid
90,197,14,2025-01-01,64276.91,Delivered,Refunded
91,670,36,2025-07-11,24753.51,Placed,Refunded
92,747,2,2025-10-02,100967.83,Packed,Refunded
93,189,7,2024-05-19,149987.03,Cancelled,Paid
94,277,8,2024-03-16,54357.57,Shipped,Refunded
95,134,17,2025-02-24,14186.15,Shipped,Paid
96,683,35,2024-05-03,146281.6,Shipped,Refunded
97,819,41,2025-11-04,46468.61,Packed,Paid
98,96,8,2025-09-26,15407.75,Delivered,Failed
99,838,23,2025-11-21,27289.32,Packed,Failed
100,1,27,2024-08-02,36224.6,Placed,Failed
101,133,6,2024-06-27,80557.81,Delivered,Pending
102,797,25,2024-11-08,10017.37,Placed,Paid
103,811,37,2025-02-07,40136.55,Placed,Pending
104,897,20,2024-11-14,89737.33,Returned,Refunded
105,24,43,2024-05-28,46423.97,Packed,Failed
106,218,32,2024-02-16,63580.92,Packed,Pending
107,683,4,2025-07-17,33589.01,Placed,Failed
108,593,13,2025-02-14,85530.37,Delivered,Refunded
109,77,14,2024-04-01,66065.4,Cancelled,Refunded
110,719,2,2024-08-01,101378.22,Packed,Paid
111,732,4,2025-02-25,119636.48,Delivered,Failed
112,342,43,2024-07-05,96545.06,Delivered,Failed
113,674,44,2024-04-16,13369.49,Packed,Pending
114,673,42,2024-05-19,117373.71,Returned,Refunded
115,374,33,2025-03-06,105956.66,Shipped,Failed
116,865,12,2025-06-30,79511.77,Returned,Paid
117,876,1,2025-08-17,90704.52,Packed,Paid
118,465,42,2024-09-09,94149.7,Cancelled,Failed
119,31,24,2024-10-30,121257.64,Delivered,Refunded
120,664,48,2024-10-18,125074.4,Cancelled,Refunded
121,204,11,2024-02-10,56421.01,Cancelled,Paid
122,503,24,2025-03-07,99595.38,Placed,Paid
123,238,37,2025-01-27,146302.56,Cancelled,Paid
124,782,32,2025-06-22,113466.05,Returned,Failed
125,344,21,2025-09-11,94854.55,Delivered,Refunded
126,346,44,2025-05-07,26714.56,Placed,Paid
127,708,34,2024-05-27,55540.9,Placed,Pending
128,151,42,2024-06-20,102913.41,Delivered,Pending
129,790,36,2024-09-12,76441.61,Returned,Pending
130,791,32,2025-05-27,100390.15,Delivered,Pending
131,284,23,2025-11-23,75887.34,Delivered,Pending
132,69,28,2025-04-28,59626.89,Placed,Failed
133,886,27,2024-03-31,147050.73,Delivered,Failed
134,15,8,2024-02-08,107139.53,Shipped,Refunded
135,329,50,2024-09-01,145602.61,Cancelled,Failed
136,747,50,2025-08-25,104369.31,Returned,Pending
137,34,12,2024-05-09,98109.41,Packed,Failed
138,439,41,2024-01-15,52423.24,Returned,Pending
139,276,23,2025-07-11,46820.14,Placed,Refunded
140,211,4,2024-04-30,83892.93,Cancelled,Paid
141,615,32,2025-06-11,63238.51,Returned,Failed
142,66,13,2024-07-06,52558.14,Shipped,Failed
143,755,32,2024-04-29,59568.48,Shipped,Failed
144,105,13,2024-09-20,13717.94,Placed,Refunded
145,180,13,2024-03-25,129870.22,Delivered,Failed
146,952,47,2025-03-23,142444.01,Returned,Paid
147,425,4,2024-04-06,140446.26,Cancelled,Failed
148,386,47,2024-12-06,55356.1,Placed,Refunded
149,621,12,2024-05-03,4335.4,Delivered,Refunded
150,34,14,2024-10-20,47616.17,Shipped,Pending
151,328,39,2025-04-28,54295.95,Cancelled,Paid
152,631,31,2024-06-08,31435.28,Packed,Failed
153,572,15,2024-11-15,136618.15,Packed,Pending
154,475,31,2024-12-04,71561.22,Delivered,Failed
155,827,18,2025-03-22,108035.39,Shipped,Paid
156,667,26,2025-04-22,147496.71,Cancelled,Refunded
157,392,37,2025-07-31,92019.79,Packed,Pending
158,793,4,2024-06-13,104515.25,Cancelled,Failed
159,694,40,2024-10-06,91227.04,Shipped,Pending
160,931,34,2024-08-31,136233.71,Delivered,Paid
161,598,25,2025-07-14,9756.7,Delivered,Pending
162,173,23,2025-08-25,19513.98,Shipped,Failed
163,159,11,2025-04-10,40452.81,Packed,Pending
164,304,13,2025-08-25,89234.01,Shipped,Pending
165,626,29,2024-01-27,27380.95,Shipped,Pending
166,334,3,2024-04-12,36732.63,Shipped,Pending
167,86,12,2025-04-17,65438.06,Placed,Paid
168,621,43,2024-08-30,98272.99,Delivered,Pending
169,244,44,2024-11-10,25871.93,Packed,Refunded
170,756,26,2024-01-24,92437.57,Shipped,Failed
171,443,47,2025-09-07,24209.92,Cancelled,Pending
172,198,15,2024-11-02,111677.59,Delivered,Pending
173,696,38,2024-07-21,24080.18,Packed,Pending
174,511,48,2024-05-01,14437.6,Returned,Pending
175,718,2,2025-05-25,107935.77,Returned,Failed
176,237,36,2025-10-15,120163.98,Cancelled,Failed
177,942,46,2024-03-20,118649.11,Shipped,Refunded
178,273,16,2024-06-04,92714.26,Packed,Paid
179,677,46,2024-04-02,61684.75,Shipped,Failed
180,73,12,2025-04-21,48681.94,Placed,Failed
181,558,20,2024-04-08,114171.24,Returned,Paid
182,145,17,2024-12-08,19348.43,Returned,Failed
183,872,20,2024-04-29,104576.47,Delivered,Refunded
184,382,8,2024-08-24,146186.43,Returned,Refunded
185,274,37,2025-06-23,14111.56,Placed,Refunded
186,384,29,2025-04-03,58293.05,Packed,Pending
187,184,42,2025-11-22,50050.46,Returned,Failed
188,774,10,2025-11-22,82395.54,Returned,Failed
189,381,25,2024-06-13,38977.93,Cancelled,Refunded
190,856,50,2025-02-08,80325.9,Delivered,Paid
191,724,15,2025-05-01,34050.1,Cancelled,Pending
192,159,39,2024-12-18,66887.1,Returned,Refunded
193,993,46,2024-01-04,97992.52,Shipped,Failed
194,685,4,2024-08-31,3720.11,Packed,Refunded
195,187,32,2024-07-05,100557.36,Returned,Pending
196,248,34,2024-05-08,26208.98,Shipped,Failed
197,561,31,2024-02-27,57436.15,Delivered,Refunded
198,998,45,2025-11-07,48959.61,Packed,Paid
199,238,48,2025-03-24,149947.36,Shipped,Paid
200,931,24,2024-06-20,144681.7,Shipped,Failed
201,557,48,2025-05-07,92985.52,Placed,Pending
202,152,30,2025-03-14,34590.78,Cancelled,Failed
203,42,40,2025-09-28,136919.09,Shipped,Pending
204,971,13,2024-08-15,3273.93,Placed,Paid
205,523,35,2025-05-31,72197.56,Returned,Failed
206,299,41,2024-07-15,48845.55,Delivered,Pending
207,529,40,2024-08-06,124033.13,Placed,Pending
208,642,20,2024-10-13,129165.3,Shipped,Pending
209,552,26,2024-11-24,19219.21,Packed,Paid
210,973,24,2025-10-11,35122.92,Shipped,Paid
211,632,29,2024-02-27,106947.27,Placed,Refunded
212,629,49,2025-08-01,6573.65,Cancelled,Failed
213,979,47,2024-12-13,98462.28,Packed,Pending
214,844,50,2024-11-06,96390.98,Packed,Failed
215,603,41,2024-11-13,30639.92,Shipped,Refunded
216,945,31,2025-08-20,105297.66,Returned,Refunded
217,933,41,2025-05-12,55554.67,Cancelled,Refunded
218,163,30,2025-05-23,78776.7,Returned,Pending
219,148,41,2025-03-21,111134.0,Returned,Refunded
220,403,44,2025-05-19,96716.28,Packed,Refunded
221,26,14,2025-10-28,34472.76,Cancelled,Pending
222,269,16,2025-03-21,20778.04,Cancelled,Failed
223,388,48,2024-07-13,138214.2,Placed,Pending
224,979,43,2024-06-12,37255.84,Delivered,Refunded
225,346,14,2025-11-19,58928.64,Cancelled,Paid
226,551,20,2025-10-26,116246.87,Returned,Pending
227,860,37,2025-03-09,26458.81,Packed,Refunded
228,549,47,2025-08-20,87586.21,Placed,Pending
229,778,28,2025-10-16,51446.02,Delivered,Paid
230,19,32,2024-01-19,93855.06,Returned,Paid
231,412,5,2024-06-16,107456.24,Placed,Pending
232,344,42,2024-07-13,132105.77,Packed,Pending
233,770,16,2025-03-28,3744.32,Placed,Pending
234,489,22,2025-07-19,20942.49,Packed,Failed
235,760,31,2025-08-17,147950.36,Cancelled,Pending
236,118,28,2024-04-21,69367.74,Returned,Refunded
237,868,43,2024-03-15,21657.08,Delivered,Pending
238,841,36,2024-05-23,37586.8,Packed,Pending
239,88,18,2025-10-01,46171.86,Packed,Pending
240,5,44,2024-09-20,56086.41,Shipped,Paid
241,245,33,2024-11-15,2411.31,Placed,Refunded
242,81,50,2025-11-17,103849.88,Returned,Failed
243,252,24,2024-12-08,137167.33,Cancelled,Pending
244,570,28,2025-05-12,6094.91,Placed,Paid
245,104,31,2025-02-04,29781.85,Returned,Paid
246,940,36,2025-11-10,30787.58,Shipped,Pending
247,133,45,2025-08-03,24827.59,Cancelled,Refunded
248,876,17,2024-03-05,139850.09,Delivered,Paid
249,887,6,2024-10-08,127680.26,Placed,Refunded
250,421,43,2025-11-13,69630.64,Placed,Pending
251,476,43,2024-05-21,117533.18,Cancelled,Refunded
252,547,48,2025-07-28,135356.91,Delivered,Refunded
253,174,13,2024-08-17,117586.92,Delivered,Refunded
254,74,6,2025-04-27,131338.68,Packed,Failed
255,405,16,2025-02-02,46627.91,Cancelled,Refunded
256,685,36,2025-08-28,82485.04,Placed,Paid
257,450,44,2024-05-10,21077.25,Delivered,Pending
258,991,43,2025-04-17,108488.85,Placed,Refunded
259,144,16,2024-03-28,15140.82,Cancelled,Refunded
260,346,9,2024-11-19,139157.6,Delivered,Refunded
261,81,16,2025-08-03,112539.31,Cancelled,Failed
262,380,28,2025-10-08,5522.35,Packed,Refunded
263,473,43,2025-07-08,32532.51,Placed,Pending
264,224,44,2024-06-21,76981.79,Returned,Refunded
265,135,21,2024-07-07,42706.14,Delivered,Refunded
266,842,16,2025-03-04,142669.56,Delivered,Pending
267,8,19,2025-05-30,92699.53,Returned,Pending
268,449,28,2024-06-24,122130.06,Shipped,Refunded
269,789,50,2024-02-27,108981.73,Packed,Failed
270,232,1,2024-02-10,54831.85,Packed,Failed
271,915,48,2025-11-13,124600.74,Cancelled,Paid
272,199,49,2025-04-15,124539.21,Placed,Pending
273,126,10,2024-07-01,144404.94,Cancelled,Paid
274,61,6,2024-09-05,69892.11,Delivered,Refunded
275,187,45,2025-03-07,130949.56,Placed,Paid
276,866,45,2025-09-11,38885.93,Returned,Failed
277,615,41,2024-12-17,111593.52,Cancelled,Paid
278,549,12,2024-06-26,30247.9,Shipped,Pending
279,512,2,2025-02-16,127264.28,Shipped,Failed
280,804,35,2025-04-15,107996.51,Packed,Paid
281,788,15,2025-08-21,70925.93,Shipped,Paid
282,912,14,2025-01-15,100802.76,Placed,Pending
283,305,32,2025-11-07,61470.19,Returned,Failed
284,465,15,2024-07-30,128257.72,Placed,Failed
285,355,7,2025-10-31,28774.92,Placed,Pending
286,538,50,2025-10-18,128229.01,Cancelled,Pending
287,178,17,2025-02-26,43137.46,Returned,Pending
288,599,7,2024-01-06,47006.34,Shipped,Failed
289,682,6,2024-01-15,49141.68,Delivered,Failed
290,995,42,2025-08-11,128082.09,Cancelled,Refunded
291,980,30,2025-05-21,58366.56,Returned,Pending
292,966,6,2025-03-18,100890.66,Shipped,Pending
293,923,47,2024-02-25,105502.49,Placed,Failed
294,178,39,2025-10-29,139078.42,Placed,Pending
295,318,43,2025-01-09,88496.29,Shipped,Pending
296,316,35,2024-06-21,78266.94,Cancelled,Paid
297,309,19,2024-10-17,58564.72,Returned,Paid
298,554,4,2025-01-01,109451.71,Shipped,Paid
299,555,14,2024-02-14,80029.8,Cancelled,Failed
300,531,3,2024-05-10,42808.18,Shipped,Failed
301,279,40,2024-07-03,83877.69,Packed,Failed
302,1000,27,2024-09-08,3193.37,Shipped,Failed
303,633,32,2024-02-23,147516.11,Shipped,Paid
304,203,31,2024-05-17,134260.89,Shipped,Refunded
305,380,21,2025-07-17,147541.27,Cancelled,Paid
306,119,41,2025-11-20,94643.26,Cancelled,Pending
307,928,21,2024-09-17,28820.14,Returned,Refunded
308,936,43,2025-11-08,37719.48,Shipped,Pending
309,894,21,2025-05-19,114647.23,Shipped,Failed
310,716,23,2025-05-20,73447.88,Placed,Paid
311,919,25,2025-07-21,21278.41,Shipped,Failed
312,71,18,2024-10-20,17935.4,Packed,Failed
313,366,10,2025-11-20,94301.08,Returned,Paid
314,646,43,2024-08-07,53627.84,Delivered,Paid
315,988,43,2025-10-31,64916.07,Returned,Failed
316,981,45,2024-06-27,77416.46,Packed,Paid
317,219,34,2024-06-12,27178.99,Returned,Paid
318,975,36,2024-06-10,116830.83,Packed,Refunded
319,38,35,2024-08-28,71883.09,Delivered,Refunded
320,189,21,2024-02-18,21199.26,Packed,Paid
321,833,18,2025-09-17,130184.0,Returned,Paid
322,19,36,2025-09-21,13564.97,Packed,Failed
323,840,34,2025-02-23,68289.71,Placed,Pending
324,68,41,2024-06-19,2980.03,Delivered,Pending
325,215,34,2024-03-25,132481.08,Cancelled,Paid
326,411,30,2025-07-06,134153.86,Delivered,Refunded
327,95,9,2025-03-06,73026.04,Packed,Paid
328,614,28,2024-12-25,75417.06,Delivered,Refunded
329,361,9,2024-12-28,15636.3,Placed,Failed
330,762,6,2025-04-22,77998.31,Cancelled,Refunded
331,325,47,2025-05-17,122392.17,Placed,Refunded
332,921,2,2024-07-07,62491.63,Returned,Failed
333,750,29,2025-06-19,42580.19,Shipped,Failed
334,912,15,2025-08-14,70554.43,Returned,Failed
335,83,18,2024-11-18,35880.76,Placed,Pending
336,725,36,2024-12-15,86367.42,Returned,Failed
337,742,3,2025-05-04,113613.98,Delivered,Refunded
338,64,1,2025-04-08,7270.58,Placed,Failed
339,529,9,2024-11-30,27868.57,Shipped,Pending
340,675,7,2024-06-04,136550.96,Placed,Refunded
341,993,22,2025-06-12,139580.63,Cancelled,Failed
342,868,32,2024-11-12,136433.95,Cancelled,Paid
343,300,17,2024-05-23,114257.65,Delivered,Refunded
344,593,44,2024-02-19,14754.01,Packed,Failed
345,828,4,2024-08-24,19547.77,Returned,Paid
346,930,21,2025-03-14,17914.68,Placed,Paid
347,947,44,2025-07-14,29355.8,Shipped,Refunded
348,741,24,2024-12-30,86851.59,Delivered,Failed
349,274,34,2024-03-11,2956.69,Delivered,Refunded
350,51,13,2025-11-15,120302.72,Delivered,Pending
351,348,22,2025-01-21,20050.58,Packed,Pending
352,632,22,2024-11-12,28742.17,Delivered,Failed
353,541,17,2025-07-23,81620.08,Returned,Refunded
354,261,24,2025-06-27,36473.35,Returned,Refunded
355,693,2,2024-06-27,120159.42,Delivered,Paid
356,153,42,2024-02-01,10391.74,Packed,Pending
357,229,46,2025-04-10,24300.01,Returned,Pending
358,549,33,2024-02-11,2569.67,Cancelled,Pending
359,176,43,2024-04-24,59286.57,Cancelled,Pending
360,628,13,2025-05-23,28067.22,Placed,Paid
361,487,41,2025-01-13,126507.86,Packed,Paid
362,678,37,2025-01-25,124402.76,Shipped,Refunded
363,627,3,2024-03-01,105451.48,Returned,Refunded
364,577,35,2025-11-17,72458.48,Placed,Failed
365,707,39,2025-06-28,49335.43,Delivered,Paid
366,324,24,2024-09-03,67921.43,Cancelled,Refunded
367,865,9,2024-02-01,61619.38,Placed,Pending
368,994,29,2024-01-10,71638.78,Returned,Failed
369,650,33,2024-06-17,63282.7,Delivered,Refunded
370,725,40,2025-05-01,80188.01,Shipped,Refunded
371,382,46,2025-09-19,44322.54,Cancelled,Refunded
372,559,21,2025-06-18,41431.82,Returned,Failed
373,769,13,2025-07-31,24087.65,Cancelled,Paid
374,754,12,2025-11-28,123225.42,Placed,Failed
375,727,18,2024-03-24,44993.52,Cancelled,Paid
376,269,40,2024-06-11,114591.62,Shipped,Refunded
377,5,31,2024-09-22,147585.03,Cancelled,Refunded
378,149,27,2024-02-27,130655.28,Returned,Failed
379,678,6,2025-06-24,93608.58,Shipped,Pending
380,670,9,2025-08-10,30763.53,Shipped,Failed
381,86,45,2025-01-01,117151.56,Placed,Failed
382,637,21,2025-05-16,94446.13,Cancelled,Failed
383,613,14,2025-10-22,48865.04,Packed,Refunded
384,72,41,2024-10-25,89416.03,Delivered,Failed
385,997,48,2024-08-22,39792.76,Packed,Paid
386,382,33,2024-09-29,41328.3,Returned,Refunded
387,232,21,2024-03-28,20284.21,Returned,Paid
388,965,20,2024-05-27,136290.7,Cancelled,Failed
389,81,32,2024-04-09,96693.27,Returned,Pending
390,483,25,2024-03-16,11184.47,Cancelled,Refunded
391,356,26,2024-03-13,82357.65,Delivered,Failed
392,498,38,2025-05-20,147730.32,Delivered,Refunded
393,447,31,2024-03-17,110692.03,Delivered,Refunded
394,225,9,2025-03-26,96347.2,Delivered,Failed
395,307,1,2025-04-14,79804.06,Cancelled,Refunded
396,500,37,2024-04-22,50228.47,Placed,Refunded
397,38,4,2024-01-25,101382.28,Placed,Refunded
398,251,13,2025-06-29,126650.33,Packed,Paid
399,727,50,2024-07-27,110118.4,Returned,Paid
400,472,21,2024-04-22,122770.23,Shipped,Failed
401,930,12,2024-03-18,11614.02,Returned,Paid
402,755,22,2024-06-23,112495.63,Shipped,Paid
403,197,21,2024-03-14,44237.37,Placed,Paid
404,221,43,2025-09-09,50437.65,Returned,Failed
405,475,40,2025-03-22,148513.42,Packed,Paid
406,303,8,2024-08-31,91797.73,Shipped,Paid
407,144,41,2024-02-12,63602.58,Returned,Failed
408,848,10,2025-03-21,43350.16,Delivered,Refunded
409,600,14,2025-05-20,27965.11,Shipped,Failed
410,781,21,2024-12-07,8930.68,Shipped,Refunded
411,265,26,2025-06-05,137395.02,Packed,Paid
412,880,25,2024-02-16,21047.06,Packed,Pending
413,490,22,2025-08-28,34390.76,Shipped,Refunded
414,509,18,2024-08-18,135249.73,Delivered,Refunded
415,485,38,2025-10-18,117650.01,Shipped,Paid
416,679,37,2024-08-19,79042.8,Packed,Paid
417,594,49,2024-07-03,140293.09,Packed,Failed
418,77,47,2025-05-07,2168.02,Cancelled,Failed
419,737,41,2024-12-01,135111.49,Returned,Refunded
420,558,4,2024-12-02,53278.22,Shipped,Paid
421,423,17,2025-10-08,41613.11,Packed,Failed
422,46,37,2024-10-11,127425.86,Returned,Pending
423,146,17,2024-04-30,16810.63,Delivered,Refunded
424,170,42,2024-09-08,84609.55,Packed,Failed
425,623,49,2024-01-15,86931.07,Placed,Pending
426,862,38,2025-03-12,68190.05,Placed,Pending
427,453,5,2025-11-04,45028.99,Cancelled,Refunded
428,422,46,2024-09-08,62776.31,Returned,Pending
429,971,16,2024-10-04,95352.42,Placed,Paid
430,329,34,2024-03-10,9399.69,Delivered,Refunded
431,622,1,2024-03-05,93578.03,Returned,Pending
432,678,43,2025-02-11,110537.34,Delivered,Refunded
433,625,12,2025-06-30,54494.96,Shipped,Refunded
434,812,1,2025-10-31,117591.31,Shipped,Paid
435,888,28,2024-08-12,129401.86,Shipped,Pending
436,65,25,2024-12-29,32149.91,Packed,Pending
437,995,46,2025-09-05,77680.13,Cancelled,Failed
438,746,50,2025-07-21,123772.42,Placed,Refunded
439,965,46,2024-02-14,64556.52,Returned,Failed
440,779,1,2024-08-14,102154.25,Delivered,Pending
441,98,49,2024-10-14,66822.48,Packed,Refunded
442,825,21,2025-10-14,41448.14,Packed,Refunded
443,238,49,2024-01-23,129915.46,Delivered,Paid
444,934,46,2024-07-28,71212.11,Placed,Paid
445,972,41,2024-11-10,78901.14,Delivered,Pending
446,191,36,2024-02-16,95906.39,Packed,Failed
447,740,11,2024-01-24,77317.57,Returned,Pending
448,210,15,2024-05-13,87770.14,Packed,Pending
449,636,5,2025-06-07,97504.08,Placed,Paid
450,222,31,2024-04-25,91110.68,Placed,Pending
451,272,11,2024-08-18,133291.2,Delivered,Failed
452,219,35,2024-04-09,4971.87,Returned,Refunded
453,796,38,2025-01-28,16523.05,Placed,Refunded
454,812,46,2025-06-08,128219.83,Cancelled,Paid
455,924,27,2024-07-05,133072.96,Packed,Pending
456,122,33,2024-06-01,118892.23,Delivered,Refunded
457,356,5,2024-05-03,85977.08,Delivered,Paid
458,219,19,2024-11-23,118656.01,Packed,Pending
459,605,8,2025-08-05,100624.14,Shipped,Failed
460,757,14,2025-03-16,79520.37,Placed,Failed
461,134,47,2024-05-26,81758.19,Delivered,Paid
462,972,30,2024-01-22,67616.02,Packed,Paid
463,414,4,2025-07-28,141697.26,Shipped,Paid
464,246,33,2024-06-23,22670.05,Cancelled,Failed
465,135,37,2025-06-16,92067.69,Delivered,Pending
466,137,15,2024-11-24,149402.06,Packed,Failed
467,523,50,2024-10-31,88176.29,Returned,Pending
468,19,12,2024-04-07,30874.02,Packed,Paid
469,79,4,2025-04-03,94037.39,Packed,Paid
470,419,14,2025-09-22,74021.32,Cancelled,Failed
471,737,46,2024-03-03,7507.84,Placed,Refunded
472,368,47,2025-05-24,20886.62,Returned,Pending
473,395,4,2025-07-12,47498.34,Cancelled,Pending
474,966,29,2025-02-18,138257.6,Shipped,Refunded
475,759,39,2024-01-13,15128.83,Cancelled,Pending
476,388,20,2024-11-11,22302.44,Shipped,Paid
477,982,45,2024-08-04,47025.81,Returned,Refunded
478,320,21,2025-10-30,82226.72,Placed,Paid
479,39,37,2024-02-20,125299.1,Placed,Failed
480,537,24,2024-03-26,149059.37,Packed,Paid
481,150,22,2024-12-20,7705.32,Packed,Failed
482,766,15,2025-08-17,140675.28,Shipped,Failed
483,9,44,2025-04-14,146414.07,Delivered,Pending
484,65,10,2025-02-14,15447.18,Cancelled,Pending
485,776,44,2024-10-04,53054.23,Cancelled,Failed
486,285,27,2024-05-05,91162.58,Shipped,Failed
487,934,12,2024-06-04,71094.14,Cancelled,Paid
488,41,20,2025-03-05,130318.31,Delivered,Failed
489,953,39,2024-11-21,113311.63,Shipped,Failed
490,172,34,2024-08-27,125303.46,Packed,Paid
491,64,4,2024-11-23,30278.13,Delivered,Failed
492,368,27,2025-01-07,40382.2,Returned,Refunded
493,5,39,2024-08-28,135996.1,Cancelled,Pending
494,129,37,2025-04-03,84166.52,Placed,Paid
495,156,20,2025-07-05,60072.2,Shipped,Paid
496,15,46,2024-08-30,141314.83,Cancelled,Refunded
497,464,8,2025-07-09,117175.92,Delivered,Failed
498,277,33,2025-10-03,77495.32,Placed,Paid
499,642,24,2024-07-20,143069.52,Placed,Refunded
500,32,18,2024-03-12,61546.4,Placed,Failed
501,349,7,2024-05-08,116595.51,Shipped,Failed
502,16,20,2025-04-16,46932.26,Cancelled,Paid
503,904,1,2025-11-27,109287.6,Cancelled,Pending
504,682,41,2024-04-19,4430.06,Packed,Refunded
505,89,20,2025-02-14,33885.87,Delivered,Paid
506,121,29,2024-11-25,16958.03,Packed,Failed
507,658,45,2024-07-25,24882.97,Cancelled,Pending
508,159,39,2024-04-11,148161.78,Placed,Pending
509,828,6,2024-09-22,144392.03,Placed,Paid
510,130,41,2024-10-25,100497.59,Packed,Pending
511,930,20,2025-07-09,45096.78,Shipped,Paid
512,680,11,2025-06-10,83353.98,Shipped,Pending
513,623,14,2024-10-14,62479.79,Delivered,Refunded
514,701,36,2024-03-08,102285.79,Placed,Refunded
515,257,25,2024-01-21,10523.88,Returned,Refunded
516,444,46,2024-03-24,127027.03,Returned,Failed
517,188,40,2024-01-29,133581.17,Placed,Failed
